Vivado Simulator 2019.2
Time resolution is 1 ps
===== Simulation ======
[CORRECT] s0 = 000001, s1 = 111000, s2 = 101001, s3 = 111101, result = 0100
[CORRECT] s0 = 000001, s1 = 110000, s2 = 111010, s3 = 111101, result = 0100
[CORRECT] s0 = 000001, s1 = 101000, s2 = 001011, s3 = 111110, result = 1000
[CORRECT] s0 = 000001, s1 = 100000, s2 = 011100, s3 = 111110, result = 1000
[CORRECT] s0 = 000001, s1 = 011000, s2 = 101101, s3 = 111110, result = 1000
[CORRECT] s0 = 000001, s1 = 010000, s2 = 111110, s3 = 111110, result = 1000
[CORRECT] s0 = 000001, s1 = 001000, s2 = 001111, s3 = 111111, result = 1100
[CORRECT] s0 = 000001, s1 = 111000, s2 = 011111, s3 = 111111, result = 1100
[CORRECT] s0 = 000001, s1 = 110000, s2 = 110000, s3 = 111111, result = 1100
[CORRECT] s0 = 000010, s1 = 101000, s2 = 000001, s3 = 000000, result = 1011
[CORRECT] s0 = 000010, s1 = 100000, s2 = 010010, s3 = 000000, result = 0010
[CORRECT] s0 = 000010, s1 = 011000, s2 = 100011, s3 = 000000, result = 0110
[CORRECT] s0 = 000010, s1 = 010000, s2 = 110100, s3 = 000000, result = 0000
[CORRECT] s0 = 000010, s1 = 001000, s2 = 000101, s3 = 000001, result = 0000
[CORRECT] s0 = 000010, s1 = 000000, s2 = 010110, s3 = 000001, result = 0010
[CORRECT] s0 = 000010, s1 = 111000, s2 = 100110, s3 = 000001, result = 1001
[CORRECT] s0 = 000010, s1 = 110000, s2 = 110111, s3 = 000001, result = 1100
[CORRECT] s0 = 000010, s1 = 101000, s2 = 001000, s3 = 000010, result = 1011
[CORRECT] s0 = 000010, s1 = 011000, s2 = 011001, s3 = 000010, result = 1000
[CORRECT] s0 = 000010, s1 = 010000, s2 = 101010, s3 = 000010, result = 1101
[CORRECT] s0 = 000010, s1 = 001000, s2 = 111011, s3 = 000010, result = 1100
[CORRECT] s0 = 000010, s1 = 000000, s2 = 001100, s3 = 000011, result = 0000
All Correct!!
$finish called at time : 256 ns : File "C:/Users/user/lab1_2/lab1_2.srcs/sim_1/imports/testbench/lab1_2_t.v" Line 52
